id,section,row,column,group,group_index,x_warp,y_warp,x_image,y_image,visible_score
A47,terminal_upper,A,47,,,1023.863,105.735,1241.948,422.25,49.37
A48,terminal_upper,A,48,,,1044.97,105.735,1261.486,422.347,49.84
A49,terminal_upper,A,49,,,1066.078,105.735,1281.019,422.445,49.864
A50,terminal_upper,A,50,,,1087.186,105.735,1300.547,422.543,46.864
A51,terminal_upper,A,51,,,1108.294,105.735,1320.071,422.64,46.148
A52,terminal_upper,A,52,,,1129.401,105.735,1339.589,422.738,45.296
A53,terminal_upper,A,53,,,1150.509,105.735,1359.102,422.835,50.346
A54,terminal_upper,A,54,,,1171.617,105.735,1378.611,422.933,43.16
A55,terminal_upper,A,55,,,1192.724,105.735,1398.114,423.03,40.815
A56,terminal_upper,A,56,,,1213.832,105.735,1417.613,423.128,41.531
A57,terminal_upper,A,57,,,1234.94,105.735,1437.106,423.225,43.963
A58,terminal_upper,A,58,,,1256.047,105.735,1456.595,423.322,42.704
A59,terminal_upper,A,59,,,1277.155,105.735,1476.079,423.42,37.568
A60,terminal_upper,A,60,,,1298.263,105.735,1495.557,423.517,33.802
A61,terminal_upper,A,61,,,1319.37,105.735,1515.031,423.615,38.815
A62,terminal_upper,A,62,,,1340.478,105.735,1534.5,423.712,31.728
B00,terminal_upper,B,0,,,31.801,125.875,315.67,436.726,59.272
B01,terminal_upper,B,1,,,52.909,125.875,335.533,436.823,53.827
B02,terminal_upper,B,2,,,74.017,125.875,355.392,436.92,70.012
B03,terminal_upper,B,3,,,95.125,125.875,375.245,437.016,58.346
B04,terminal_upper,B,4,,,116.232,125.875,395.093,437.113,69.827
B05,terminal_upper,B,5,,,137.34,125.875,414.936,437.21,63.741
B06,terminal_upper,B,6,,,158.448,125.875,434.774,437.307,69.259
B07,terminal_upper,B,7,,,179.555,125.875,454.607,437.403,63.173
B08,terminal_upper,B,8,,,200.663,125.875,474.435,437.5,75.926
B09,terminal_upper,B,9,,,221.771,125.875,494.258,437.597,72.099
B10,terminal_upper,B,10,,,242.878,125.875,514.075,437.693,67.469
B11,terminal_upper,B,11,,,263.986,125.875,533.888,437.79,77.617
B12,terminal_upper,B,12,,,285.094,125.875,553.696,437.886,78.617
B13,terminal_upper,B,13,,,306.201,125.875,573.498,437.983,97.963
B14,terminal_upper,B,14,,,327.309,125.875,593.296,438.079,81.914
B15,terminal_upper,B,15,,,348.417,125.875,613.088,438.176,116.407
B16,terminal_upper,B,16,,,369.524,125.875,632.875,438.272,92.741
B17,terminal_upper,B,17,,,390.632,125.875,652.657,438.369,85.395
B18,terminal_upper,B,18,,,411.74,125.875,672.435,438.465,82.852
B19,terminal_upper,B,19,,,432.848,125.875,692.207,438.561,85.185
B20,terminal_upper,B,20,,,453.955,125.875,711.974,438.658,84.111
B21,terminal_upper,B,21,,,475.063,125.875,731.736,438.754,89.444
B22,terminal_upper,B,22,,,496.171,125.875,751.493,438.85,87.716
B23,terminal_upper,B,23,,,517.278,125.875,771.245,438.947,85.481
B24,terminal_upper,B,24,,,538.386,125.875,790.992,439.043,83.691
B25,terminal_upper,B,25,,,559.494,125.875,810.733,439.139,82.605
B26,terminal_upper,B,26,,,580.601,125.875,830.47,439.235,83.074
B27,terminal_upper,B,27,,,601.709,125.875,850.202,439.332,75.074
B28,terminal_upper,B,28,,,622.817,125.875,869.929,439.428,79.975
B29,terminal_upper,B,29,,,643.924,125.875,889.65,439.524,80.975
B30,terminal_upper,B,30,,,665.032,125.875,909.367,439.62,84.173
B31,terminal_upper,B,31,,,686.14,125.875,929.078,439.716,74.827
B32,terminal_upper,B,32,,,707.247,125.875,948.785,439.812,82.309
B33,terminal_upper,B,33,,,728.355,125.875,968.487,439.908,82.247
B34,terminal_upper,B,34,,,749.463,125.875,988.183,440.004,78.407
B35,terminal_upper,B,35,,,770.571,125.875,1007.875,440.1,73.877
B36,terminal_upper,B,36,,,791.678,125.875,1027.561,440.196,78.58
B37,terminal_upper,B,37,,,812.786,125.875,1047.243,440.292,69.111
B38,terminal_upper,B,38,,,833.894,125.875,1066.919,440.388,71.778
B39,terminal_upper,B,39,,,855.001,125.875,1086.59,440.484,71.321
B40,terminal_upper,B,40,,,876.109,125.875,1106.257,440.58,63.123
B41,terminal_upper,B,41,,,897.217,125.875,1125.918,440.676,67.654
B42,terminal_upper,B,42,,,918.324,125.875,1145.575,440.772,63.741
B43,terminal_upper,B,43,,,939.432,125.875,1165.226,440.867,57.321
B44,terminal_upper,B,44,,,960.54,125.875,1184.872,440.963,45.84
B45,terminal_upper,B,45,,,981.647,125.875,1204.514,441.059,61.21
B46,terminal_upper,B,46,,,1002.755,125.875,1224.15,441.155,64.37
B47,terminal_upper,B,47,,,1023.863,125.875,1243.781,441.25,52.185
B48,terminal_upper,B,48,,,1044.97,125.875,1263.408,441.346,54.815
B49,terminal_upper,B,49,,,1066.078,125.875,1283.029,441.442,53.42
B50,terminal_upper,B,50,,,1087.186,125.875,1302.646,441.537,43.222
B51,terminal_upper,B,51,,,1108.294,125.875,1322.257,441.633,45.012
B52,terminal_upper,B,52,,,1129.401,125.875,1341.863,441.728,50.58
B53,terminal_upper,B,53,,,1150.509,125.875,1361.465,441.824,52.617
B54,terminal_upper,B,54,,,1171.617,125.875,1381.061,441.919,41.296
B55,terminal_upper,B,55,,,1192.724,125.875,1400.652,442.015,41.704
B56,terminal_upper,B,56,,,1213.832,125.875,1420.239,442.11,41.877
B57,terminal_upper,B,57,,,1234.94,125.875,1439.82,442.206,44.914
B58,terminal_upper,B,58,,,1256.047,125.875,1459.397,442.301,42.556
B59,terminal_upper,B,59,,,1277.155,125.875,1478.968,442.397,35.963
B60,terminal_upper,B,60,,,1298.263,125.875,1498.535,442.492,35.037
B61,terminal_upper,B,61,,,1319.37,125.875,1518.096,442.587,35.37
B62,terminal_upper,B,62,,,1340.478,125.875,1537.653,442.683,33.951
C00,terminal_upper,C,0,,,31.801,146.015,313.284,455.995,52.951
C01,terminal_upper,C,1,,,52.909,146.015,333.238,456.09,58.617
C02,terminal_upper,C,2,,,74.017,146.015,353.188,456.184,58.84
C03,terminal_upper,C,3,,,95.125,146.015,373.132,456.279,57.025
C04,terminal_upper,C,4,,,116.232,146.015,393.072,456.374,58.099
C05,terminal_upper,C,5,,,137.34,146.015,413.006,456.468,55.395
C06,terminal_upper,C,6,,,158.448,146.015,432.935,456.563,68.728
C07,terminal_upper,C,7,,,179.555,146.015,452.858,456.658,62.185
C08,terminal_upper,C,8,,,200.663,146.015,472.777,456.752,66.519
C09,terminal_upper,C,9,,,221.771,146.015,492.691,456.847,70.914
C10,terminal_upper,C,10,,,242.878,146.015,512.599,456.942,69.802
C11,terminal_upper,C,11,,,263.986,146.015,532.503,457.036,68.605
C12,terminal_upper,C,12,,,285.094,146.015,552.401,457.131,83.148
C13,terminal_upper,C,13,,,306.201,146.015,572.294,457.225,69.481
C14,terminal_upper,C,14,,,327.309,146.015,592.182,457.32,63.469
C15,terminal_upper,C,15,,,348.417,146.015,612.065,457.414,56.296
C16,terminal_upper,C,16,,,369.524,146.015,631.943,457.508,81.309
C17,terminal_upper,C,17,,,390.632,146.015,651.815,457.603,83.741
C18,terminal_upper,C,18,,,411.74,146.015,671.683,457.697,87.963
C19,terminal_upper,C,19,,,432.848,146.015,691.545,457.792,83.185
C20,terminal_upper,C,20,,,453.955,146.015,711.403,457.886,87.79
C21,terminal_upper,C,21,,,475.063,146.015,731.255,457.98,88.074
C22,terminal_upper,C,22,,,496.171,146.015,751.102,458.075,85.519
C23,terminal_upper,C,23,,,517.278,146.015,770.944,458.169,66.741
C24,terminal_upper,C,24,,,538.386,146.015,790.781,458.263,73.481
C25,terminal_upper,C,25,,,559.494,146.015,810.613,458.357,71.012
C26,terminal_upper,C,26,,,580.601,146.015,830.44,458.451,76.444
C27,terminal_upper,C,27,,,601.709,146.015,850.262,458.546,65.926
C28,terminal_upper,C,28,,,622.817,146.015,870.079,458.64,77.815
C29,terminal_upper,C,29,,,643.924,146.015,889.89,458.734,82.951
C30,terminal_upper,C,30,,,665.032,146.015,909.697,458.828,79.852
C31,terminal_upper,C,31,,,686.14,146.015,929.498,458.922,76.728
C32,terminal_upper,C,32,,,707.247,146.015,949.294,459.016,86.914
C33,terminal_upper,C,33,,,728.355,146.015,969.086,459.11,80.0
C34,terminal_upper,C,34,,,749.463,146.015,988.872,459.204,79.111
C35,terminal_upper,C,35,,,770.571,146.015,1008.653,459.298,73.444
C36,terminal_upper,C,36,,,791.678,146.015,1028.429,459.392,72.765
C37,terminal_upper,C,37,,,812.786,146.015,1048.2,459.486,75.012
C38,terminal_upper,C,38,,,833.894,146.015,1067.966,459.58,73.988
C39,terminal_upper,C,39,,,855.001,146.015,1087.727,459.674,68.259
C40,terminal_upper,C,40,,,876.109,146.015,1107.483,459.768,59.531
C41,terminal_upper,C,41,,,897.217,146.015,1127.234,459.861,69.247
C42,terminal_upper,C,42,,,918.324,146.015,1146.979,459.955,64.333
C43,terminal_upper,C,43,,,939.432,146.015,1166.72,460.049,60.852
C44,terminal_upper,C,44,,,960.54,146.015,1186.455,460.143,58.21
C45,terminal_upper,C,45,,,981.647,146.015,1206.186,460.236,61.444
C46,terminal_upper,C,46,,,1002.755,146.015,1225.911,460.33,59.84
C47,terminal_upper,C,47,,,1023.863,146.015,1245.632,460.424,51.346
C48,terminal_upper,C,48,,,1044.97,146.015,1265.347,460.517,58.716
C49,terminal_upper,C,49,,,1066.078,146.015,1285.058,460.611,54.864
C50,terminal_upper,C,50,,,1087.186,146.015,1304.763,460.705,48.432
C51,terminal_upper,C,51,,,1108.294,146.015,1324.463,460.798,52.494
C52,terminal_upper,C,52,,,1129.401,146.015,1344.158,460.892,51.58
C53,terminal_upper,C,53,,,1150.509,146.015,1363.849,460.985,51.741
C54,terminal_upper,C,54,,,1171.617,146.015,1383.534,461.079,47.136
C55,terminal_upper,C,55,,,1192.724,146.015,1403.214,461.172,41.395
C56,terminal_upper,C,56,,,1213.832,146.015,1422.889,461.266,45.802
C57,terminal_upper,C,57,,,1234.94,146.015,1442.559,461.359,47.235
C58,terminal_upper,C,58,,,1256.047,146.015,1462.224,461.453,43.321
C59,terminal_upper,C,59,,,1277.155,146.015,1481.884,461.546,38.63
C60,terminal_upper,C,60,,,1298.263,146.015,1501.539,461.639,41.235
C61,terminal_upper,C,61,,,1319.37,146.015,1521.189,461.733,34.481
C62,terminal_upper,C,62,,,1340.478,146.015,1540.834,461.826,36.716
D00,terminal_upper,D,0,,,31.801,166.155,310.876,475.441,56.012
D01,terminal_upper,D,1,,,52.909,166.155,330.922,475.533,59.568
D02,terminal_upper,D,2,,,74.017,166.155,350.964,475.626,55.889
D03,terminal_upper,D,3,,,95.125,166.155,371.0,475.719,61.704
D04,terminal_upper,D,4,,,116.232,166.155,391.031,475.811,62.469
D05,terminal_upper,D,5,,,137.34,166.155,411.057,475.904,55.012
D06,terminal_upper,D,6,,,158.448,166.155,431.078,475.997,70.148
D07,terminal_upper,D,7,,,179.555,166.155,451.094,476.089,71.185
D08,terminal_upper,D,8,,,200.663,166.155,471.104,476.182,77.296
D09,terminal_upper,D,9,,,221.771,166.155,491.109,476.274,73.593
D10,terminal_upper,D,10,,,242.878,166.155,511.109,476.367,70.494
D11,terminal_upper,D,11,,,263.986,166.155,531.104,476.459,72.519
D12,terminal_upper,D,12,,,285.094,166.155,551.094,476.552,71.259
D13,terminal_upper,D,13,,,306.201,166.155,571.079,476.644,74.469
D14,terminal_upper,D,14,,,327.309,166.155,591.058,476.737,64.802
D15,terminal_upper,D,15,,,348.417,166.155,611.033,476.829,67.136
D16,terminal_upper,D,16,,,369.524,166.155,631.002,476.921,84.765
D17,terminal_upper,D,17,,,390.632,166.155,650.966,477.014,85.346
D18,terminal_upper,D,18,,,411.74,166.155,670.924,477.106,89.753
D19,terminal_upper,D,19,,,432.848,166.155,690.878,477.198,87.716
D20,terminal_upper,D,20,,,453.955,166.155,710.827,477.29,87.21
D21,terminal_upper,D,21,,,475.063,166.155,730.77,477.383,92.58
D22,terminal_upper,D,22,,,496.171,166.155,750.708,477.475,76.272
D23,terminal_upper,D,23,,,517.278,166.155,770.642,477.567,69.012
D24,terminal_upper,D,24,,,538.386,166.155,790.569,477.659,75.21
D25,terminal_upper,D,25,,,559.494,166.155,810.492,477.751,72.556
D26,terminal_upper,D,26,,,580.601,166.155,830.41,477.844,67.605
D27,terminal_upper,D,27,,,601.709,166.155,850.323,477.936,70.259
D28,terminal_upper,D,28,,,622.817,166.155,870.23,478.028,74.012
D29,terminal_upper,D,29,,,643.924,166.155,890.132,478.12,80.84
D30,terminal_upper,D,30,,,665.032,166.155,910.03,478.212,74.975
D31,terminal_upper,D,31,,,686.14,166.155,929.922,478.304,84.383
D32,terminal_upper,D,32,,,707.247,166.155,949.809,478.396,88.765
D33,terminal_upper,D,33,,,728.355,166.155,969.69,478.488,87.025
D34,terminal_upper,D,34,,,749.463,166.155,989.567,478.58,80.333
D35,terminal_upper,D,35,,,770.571,166.155,1009.439,478.672,81.432
D36,terminal_upper,D,36,,,791.678,166.155,1029.305,478.763,74.148
D37,terminal_upper,D,37,,,812.786,166.155,1049.167,478.855,81.852
D38,terminal_upper,D,38,,,833.894,166.155,1069.023,478.947,78.272
D39,terminal_upper,D,39,,,855.001,166.155,1088.874,479.039,76.235
D40,terminal_upper,D,40,,,876.109,166.155,1108.72,479.131,65.963
D41,terminal_upper,D,41,,,897.217,166.155,1128.561,479.222,71.099
D42,terminal_upper,D,42,,,918.324,166.155,1148.397,479.314,63.432
D43,terminal_upper,D,43,,,939.432,166.155,1168.227,479.406,59.037
D44,terminal_upper,D,44,,,960.54,166.155,1188.053,479.498,55.235
D45,terminal_upper,D,45,,,981.647,166.155,1207.874,479.589,61.988
D46,terminal_upper,D,46,,,1002.755,166.155,1227.689,479.681,58.37
D47,terminal_upper,D,47,,,1023.863,166.155,1247.499,479.773,48.272
D48,terminal_upper,D,48,,,1044.97,166.155,1267.304,479.864,54.309
D49,terminal_upper,D,49,,,1066.078,166.155,1287.105,479.956,54.185
D50,terminal_upper,D,50,,,1087.186,166.155,1306.9,480.047,46.37
D51,terminal_upper,D,51,,,1108.294,166.155,1326.69,480.139,49.358
D52,terminal_upper,D,52,,,1129.401,166.155,1346.475,480.23,52.16
D53,terminal_upper,D,53,,,1150.509,166.155,1366.254,480.322,50.691
D54,terminal_upper,D,54,,,1171.617,166.155,1386.029,480.413,48.469
D55,terminal_upper,D,55,,,1192.724,166.155,1405.799,480.505,43.543
D56,terminal_upper,D,56,,,1213.832,166.155,1425.563,480.596,45.21
D57,terminal_upper,D,57,,,1234.94,166.155,1445.323,480.687,43.062
D58,terminal_upper,D,58,,,1256.047,166.155,1465.077,480.779,46.222
D59,terminal_upper,D,59,,,1277.155,166.155,1484.827,480.87,38.63
D60,terminal_upper,D,60,,,1298.263,166.155,1504.571,480.961,40.235
D61,terminal_upper,D,61,,,1319.37,166.155,1524.31,481.053,37.272
D62,terminal_upper,D,62,,,1340.478,166.155,1544.045,481.144,35.42
E00,terminal_upper,E,0,,,31.801,186.295,308.445,495.066,57.481
E01,terminal_upper,E,1,,,52.909,186.295,328.585,495.157,59.691
E02,terminal_upper,E,2,,,74.017,186.295,348.719,495.248,63.086
E03,terminal_upper,E,3,,,95.125,186.295,368.848,495.338,60.037
E04,terminal_upper,E,4,,,116.232,186.295,388.972,495.429,66.395
E05,terminal_upper,E,5,,,137.34,186.295,409.091,495.519,68.321
E06,terminal_upper,E,6,,,158.448,186.295,429.204,495.61,65.568
E07,terminal_upper,E,7,,,179.555,186.295,449.313,495.7,72.988
E08,terminal_upper,E,8,,,200.663,186.295,469.416,495.79,78.37
E09,terminal_upper,E,9,,,221.771,186.295,489.513,495.881,72.247
E10,terminal_upper,E,10,,,242.878,186.295,509.606,495.971,78.074
E11,terminal_upper,E,11,,,263.986,186.295,529.693,496.062,72.173
E12,terminal_upper,E,12,,,285.094,186.295,549.775,496.152,73.852
E13,terminal_upper,E,13,,,306.201,186.295,569.852,496.242,72.963
E14,terminal_upper,E,14,,,327.309,186.295,589.924,496.333,80.21
E15,terminal_upper,E,15,,,348.417,186.295,609.991,496.423,74.765
E16,terminal_upper,E,16,,,369.524,186.295,630.052,496.513,82.222
E17,terminal_upper,E,17,,,390.632,186.295,650.108,496.603,84.877
E18,terminal_upper,E,18,,,411.74,186.295,670.159,496.693,87.444
E19,terminal_upper,E,19,,,432.848,186.295,690.205,496.784,84.309
E20,terminal_upper,E,20,,,453.955,186.295,710.245,496.874,86.864
E21,terminal_upper,E,21,,,475.063,186.295,730.281,496.964,87.025
E22,terminal_upper,E,22,,,496.171,186.295,750.311,497.054,79.864
E23,terminal_upper,E,23,,,517.278,186.295,770.336,497.144,79.728
E24,terminal_upper,E,24,,,538.386,186.295,790.356,497.234,77.877
E25,terminal_upper,E,25,,,559.494,186.295,810.37,497.324,76.148
E26,terminal_upper,E,26,,,580.601,186.295,830.38,497.414,72.099
E27,terminal_upper,E,27,,,601.709,186.295,850.384,497.504,74.099
E28,terminal_upper,E,28,,,622.817,186.295,870.383,497.594,79.173
E29,terminal_upper,E,29,,,643.924,186.295,890.377,497.684,79.556
E30,terminal_upper,E,30,,,665.032,186.295,910.365,497.774,79.543
E31,terminal_upper,E,31,,,686.14,186.295,930.349,497.864,81.123
E32,terminal_upper,E,32,,,707.247,186.295,950.327,497.954,83.519
E33,terminal_upper,E,33,,,728.355,186.295,970.301,498.044,85.481
E34,terminal_upper,E,34,,,749.463,186.295,990.269,498.133,84.568
E35,terminal_upper,E,35,,,770.571,186.295,1010.231,498.223,79.79
E36,terminal_upper,E,36,,,791.678,186.295,1030.189,498.313,75.062
E37,terminal_upper,E,37,,,812.786,186.295,1050.142,498.403,82.951
E38,terminal_upper,E,38,,,833.894,186.295,1070.089,498.492,67.938
E39,terminal_upper,E,39,,,855.001,186.295,1090.031,498.582,70.395
E40,terminal_upper,E,40,,,876.109,186.295,1109.968,498.672,64.296
E41,terminal_upper,E,41,,,897.217,186.295,1129.9,498.762,67.802
E42,terminal_upper,E,42,,,918.324,186.295,1149.827,498.851,56.753
E43,terminal_upper,E,43,,,939.432,186.295,1169.749,498.941,62.778
E44,terminal_upper,E,44,,,960.54,186.295,1189.665,499.03,60.531
E45,terminal_upper,E,45,,,981.647,186.295,1209.577,499.12,61.444
E46,terminal_upper,E,46,,,1002.755,186.295,1229.483,499.209,67.926
E47,terminal_upper,E,47,,,1023.863,186.295,1249.384,499.299,49.012
E48,terminal_upper,E,48,,,1044.97,186.295,1269.28,499.388,57.852
E49,terminal_upper,E,49,,,1066.078,186.295,1289.17,499.478,56.469
E50,terminal_upper,E,50,,,1087.186,186.295,1309.056,499.567,46.173
E51,terminal_upper,E,51,,,1108.294,186.295,1328.937,499.657,47.704
E52,terminal_upper,E,52,,,1129.401,186.295,1348.812,499.746,50.062
E53,terminal_upper,E,53,,,1150.509,186.295,1368.682,499.836,50.21
E54,terminal_upper,E,54,,,1171.617,186.295,1388.547,499.925,48.0
E55,terminal_upper,E,55,,,1192.724,186.295,1408.407,500.014,43.21
E56,terminal_upper,E,56,,,1213.832,186.295,1428.262,500.104,41.247
E57,terminal_upper,E,57,,,1234.94,186.295,1448.112,500.193,41.84
E58,terminal_upper,E,58,,,1256.047,186.295,1467.957,500.282,42.123
E59,terminal_upper,E,59,,,1277.155,186.295,1487.796,500.371,43.272
E60,terminal_upper,E,60,,,1298.263,186.295,1507.631,500.461,43.407
E61,terminal_upper,E,61,,,1319.37,186.295,1527.46,500.55,40.235
E62,terminal_upper,E,62,,,1340.478,186.295,1547.284,500.639,38.543
F00,terminal_lower,F,0,,,31.801,244.562,301.286,552.88,62.481
F01,terminal_lower,F,1,,,52.909,244.562,321.699,552.964,59.284
F02,terminal_lower,F,2,,,74.017,244.562,342.107,553.048,62.63
F03,terminal_lower,F,3,,,95.125,244.562,362.509,553.133,68.185
F04,terminal_lower,F,4,,,116.232,244.562,382.907,553.217,67.198
F05,terminal_lower,F,5,,,137.34,244.562,403.298,553.301,67.222
F06,terminal_lower,F,6,,,158.448,244.562,423.685,553.385,71.333
F07,terminal_lower,F,7,,,179.555,244.562,444.066,553.469,69.642
F08,terminal_lower,F,8,,,200.663,244.562,464.442,553.553,74.21
F09,terminal_lower,F,9,,,221.771,244.562,484.812,553.637,76.37
F10,terminal_lower,F,10,,,242.878,244.562,505.177,553.721,83.407
F11,terminal_lower,F,11,,,263.986,244.562,525.537,553.805,78.247
F12,terminal_lower,F,12,,,285.094,244.562,545.891,553.889,78.346
F13,terminal_lower,F,13,,,306.201,244.562,566.24,553.973,76.519
F14,terminal_lower,F,14,,,327.309,244.562,586.583,554.057,79.272
F15,terminal_lower,F,15,,,348.417,244.562,606.922,554.141,83.025
F16,terminal_lower,F,16,,,369.524,244.562,627.254,554.225,84.63
F17,terminal_lower,F,17,,,390.632,244.562,647.582,554.309,74.802
F18,terminal_lower,F,18,,,411.74,244.562,667.904,554.392,85.802
F19,terminal_lower,F,19,,,432.848,244.562,688.221,554.476,87.543
F20,terminal_lower,F,20,,,453.955,244.562,708.533,554.56,89.864
F21,terminal_lower,F,21,,,475.063,244.562,728.839,554.644,88.123
F22,terminal_lower,F,22,,,496.171,244.562,749.14,554.727,88.938
F23,terminal_lower,F,23,,,517.278,244.562,769.435,554.811,89.667
F24,terminal_lower,F,24,,,538.386,244.562,789.725,554.895,79.704
F25,terminal_lower,F,25,,,559.494,244.562,810.01,554.979,81.099
F26,terminal_lower,F,26,,,580.601,244.562,830.29,555.062,78.16
F27,terminal_lower,F,27,,,601.709,244.562,850.564,555.146,79.815
F28,terminal_lower,F,28,,,622.817,244.562,870.833,555.23,80.0
F29,terminal_lower,F,29,,,643.924,244.562,891.097,555.313,88.111
F30,terminal_lower,F,30,,,665.032,244.562,911.355,555.397,81.728
F31,terminal_lower,F,31,,,686.14,244.562,931.608,555.48,79.346
F32,terminal_lower,F,32,,,707.247,244.562,951.855,555.564,86.543
F33,terminal_lower,F,33,,,728.355,244.562,972.098,555.647,71.58
F34,terminal_lower,F,34,,,749.463,244.562,992.335,555.731,80.074
F35,terminal_lower,F,35,,,770.571,244.562,1012.567,555.814,79.938
F36,terminal_lower,F,36,,,791.678,244.562,1032.793,555.898,77.877
F37,terminal_lower,F,37,,,812.786,244.562,1053.014,555.981,70.457
F38,terminal_lower,F,38,,,833.894,244.562,1073.23,556.064,71.432
F39,terminal_lower,F,39,,,855.001,244.562,1093.441,556.148,71.185
F40,terminal_lower,F,40,,,876.109,244.562,1113.646,556.231,72.605
F41,terminal_lower,F,41,,,897.217,244.562,1133.846,556.315,67.444
F42,terminal_lower,F,42,,,918.324,244.562,1154.041,556.398,67.617
F43,terminal_lower,F,43,,,939.432,244.562,1174.23,556.481,72.457
F44,terminal_lower,F,44,,,960.54,244.562,1194.414,556.564,69.728
F45,terminal_lower,F,45,,,981.647,244.562,1214.593,556.648,54.901
F46,terminal_lower,F,46,,,1002.755,244.562,1234.766,556.731,54.358
F47,terminal_lower,F,47,,,1023.863,244.562,1254.935,556.814,56.938
F48,terminal_lower,F,48,,,1044.97,244.562,1275.098,556.897,51.111
F49,terminal_lower,F,49,,,1066.078,244.562,1295.255,556.98,53.568
F50,terminal_lower,F,50,,,1087.186,244.562,1315.408,557.064,56.79
F51,terminal_lower,F,51,,,1108.294,244.562,1335.555,557.147,42.593
F52,terminal_lower,F,52,,,1129.401,244.562,1355.697,557.23,55.827
F53,terminal_lower,F,53,,,1150.509,244.562,1375.833,557.313,47.531
F54,terminal_lower,F,54,,,1171.617,244.562,1395.965,557.396,44.284
F55,terminal_lower,F,55,,,1192.724,244.562,1416.091,557.479,50.704
F56,terminal_lower,F,56,,,1213.832,244.562,1436.212,557.562,43.79
F57,terminal_lower,F,57,,,1234.94,244.562,1456.327,557.645,40.951
F58,terminal_lower,F,58,,,1256.047,244.562,1476.438,557.728,42.395
F59,terminal_lower,F,59,,,1277.155,244.562,1496.543,557.811,37.963
F60,terminal_lower,F,60,,,1298.263,244.562,1516.642,557.894,37.148
F61,terminal_lower,F,61,,,1319.37,244.562,1536.737,557.977,34.481
F62,terminal_lower,F,62,,,1340.478,244.562,1556.826,558.059,32.457
G00,terminal_lower,G,0,,,31.801,264.304,298.816,572.826,64.543
